original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
terraforming mars,terraforming mars,167791.0,Terraforming Mars,2016,7,8.19517,8.34446,108837,0,,,,,,8.0,,,Found,Excellent (8.0+),Base Game,#7,Terraforming Mars_2016_167791.jpg
dune imperium uprising,dune imperium uprising,397598.0,Dune: Imperium – Uprising,2023,9,8.17395,8.70414,14360,0,,,,,,5.0,,,No good match found,Excellent (8.0+),Base Game,#9,Dune_ Imperium – Uprising_2023_397598.jpg
Spirit island,Spirit island,162886.0,Spirit Island,2017,11,8.14097,8.33943,59518,0,,,,,,10.0,,,Found,Excellent (8.0+),Base Game,#11,Spirit Island_2017_162886.jpg
gaia project,gaia project,220308.0,Gaia Project,2017,13,8.09264,8.35715,30117,0,,,,,,9.0,,,Found,Excellent (8.0+),Base Game,#13,Gaia Project_2017_220308.png
https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy # eclipse,,246900.0,Eclipse: Second Dawn for the Galaxy,2020,18,7.96694,8.40682,16274,0,,,,,,15.0,,,Extracted from URL,Very Good (7.5-7.9),Base Game,#18,Eclipse_ Second Dawn for the Galaxy_2020_246900.jpg
7 wonders duel,7 wonders duel,173346.0,7 Wonders Duel,2015,21,7.95793,8.08271,104626,0,,,,,,26.0,,,Found,Very Good (7.5-7.9),Base Game,#21,7 Wonders Duel_2015_173346.jpg
Scythe,Scythe,169786.0,Scythe,2016,22,7.95776,8.1115,90381,0,,,,,,25.0,,,Found,Very Good (7.5-7.9),Base Game,#22,Scythe_2016_169786.jpg
lost ruins of arnak,lost ruins of arnak,312484.0,Lost Ruins of Arnak,2020,28,7.90314,8.07319,52805,0,,,,,,32.0,,,Found,Very Good (7.5-7.9),Base Game,#28,Lost Ruins of Arnak_2020_312484.jpg
Herr der ringe duell um mittelerde,Herr der ringe duell um mittelerde,421006.0,The Lord of the Rings: Duel for Middle-earth,2024,30,7.89234,8.36406,13973,0,,,,1.0,,24.0,,,No good match found,Very Good (7.5-7.9),Base Game,#30,The Lord of the Rings_ Duel for Middle-earth_2024_421006.jpg
Slay the Spire,Slay the Spire,338960.0,Slay the Spire: The Board Game,2024,31,7.89172,8.6821,8800,0,,,,,,19.0,,,Found,Very Good (7.5-7.9),Base Game,#31,Slay the Spire_ The Board Game_2024_338960.png
https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence # SETI,,418059.0,SETI: Search for Extraterrestrial Intelligence,2024,32,7.89108,8.39307,13218,0,,,,,,20.0,,,Extracted from URL,Very Good (7.5-7.9),Base Game,#32,SETI_ Search for Extraterrestrial Intelligence_2024_418059.jpg
Root,Root,237182.0,Root,2018,33,7.88261,8.06977,60120,0,,,,,,37.0,,12.0,Found,Very Good (7.5-7.9),Base Game,#33,Root_2018_237182.jpg
sky team,sky team,373106.0,Sky Team,2023,34,7.87386,8.1499,24917,0,,,,2.0,,,14.0,,Found,Very Good (7.5-7.9),Base Game,#34,Sky Team_2023_373106.jpg
flügelschlag,flügelschlag,266192.0,Wingspan,2019,38,7.8591,8.01101,106773,0,,,,5.0,,47.0,,,Found,Very Good (7.5-7.9),Base Game,#38,Wingspan_2019_266192.jpg
Barrage,Barrage,251247.0,Barrage,2019,39,7.84023,8.14368,20477,0,,,,,,31.0,,,Found,Very Good (7.5-7.9),Base Game,#39,Barrage_2019_251247.png
everdell,everdell,199792.0,Everdell,2018,41,7.81904,7.99493,64236,0,,,,,,49.0,,,Found,Very Good (7.5-7.9),Base Game,#41,Everdell_2018_199792.png
https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal # heat,,366013.0,Heat: Pedal to the Metal,2022,45,7.79353,8.01039,35443,0,,,,8.0,,,,,Extracted from URL,Very Good (7.5-7.9),Base Game,#45,Heat_ Pedal to the Metal_2022_366013.png
cascadia,cascadia,295947.0,Cascadia,2021,54,7.7466,7.90788,50319,0,1.0,,,9.0,,,,,Found,Very Good (7.5-7.9),Base Game,#54,Cascadia_2021_295947.jpg
schlafende götter,schlafende götter,255984.0,Sleeping Gods,2021,66,7.70782,8.12418,14866,0,,,,,,,20.0,,Found,Very Good (7.5-7.9),Base Game,#66,Sleeping Gods_2021_255984.png
harmonies,harmonies,414317.0,Harmonies,2024,69,7.69529,8.02351,21411,0,3.0,,,10.0,,,,,Found,Very Good (7.5-7.9),Base Game,#69,Harmonies_2024_414317.png
quacksalber,quacksalber,244521.0,Quacks,2018,74,7.66998,7.8072,56301,0,,,,12.0,,,,,Found,Very Good (7.5-7.9),Base Game,#74,Quacks_2018_244521.png
Revive,Revive,332772.0,Revive,2022,90,7.61761,8.09058,11325,0,,,,,,63.0,,,Found,Very Good (7.5-7.9),Base Game,#90,Revive_2022_332772.jpg
azul,azul,230802.0,Azul,2017,92,7.61332,7.72352,102713,0,2.0,,,15.0,,,,,Found,Very Good (7.5-7.9),Base Game,#92,Azul_2017_230802.png
https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure # Klong!,,201808.0,Clank!: A Deck-Building Adventure,2016,95,7.60283,7.76642,45923,0,,,,17.0,,93.0,,,Extracted from URL,Very Good (7.5-7.9),Base Game,#95,Clank!_ A Deck-Building Adventure_2016_201808.jpg
