original_line,game_name,custom_name,bgg_link,bgg_id,name,year,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,bgg_rank,bgg_rating,bgg_average,bgg_users_rated,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,confidence,image_filename,min_players,max_players,best_player_count,recommended_player_count,playing_time,complexity_weight,mechanics,categories
https://boardgamegeek.com/boardgame/167355/nemesis # Nemesis,Nemesis,Nemesis,https://boardgamegeek.com/boardgame/167355/nemesis,167355,Nemesis,2018,2018,23,7.9518,8.25446,35316,0,23,,,,,,,,,,12.0,,Found from URL,High,Nemesis_2018_167355.png,1,5,"4, 5","1, 2, 3",90-180 min,3.48,Campaign / Battle Card Driven; Cooperative Game; Dice Rolling; Hand Management; Hidden Roles,Adventure; Horror; Miniatures
https://boardgamegeek.com/boardgame/406322/saboteur-20th-anniversary-edition # Saboteur: 20th Anniversary Edition,Saboteur: 20th Anniversary Edition,Saboteur: 20th Anniversary Edition,https://boardgamegeek.com/boardgame/406322/saboteur-20th-anniversary-edition,406322,Saboteur: 20th Anniversary Edition,2024,2024,0,5.7789,7.79295,380,0,,,,,,,,,,,,,Found from URL,High,Saboteur 20th Anniversary Edition_2024_406322.jpg,2,12,7,"4, 5, 6, 8, 9",30 min,1.88,Hand Management; Hidden Roles; Map Addition; Network and Route Building; Take That,Bluffing; Card Game; Exploration
https://boardgamegeek.com/boardgame/423729/lets-hit-each-other-with-fake-swords # Herzlich Willkommen zum Hieb- und Stichfest,Herzlich Willkommen zum Hieb- und Stichfest,Herzlich Willkommen zum Hieb- und Stichfest,https://boardgamegeek.com/boardgame/423729/lets-hit-each-other-with-fake-swords,423729,Let's Hit Each Other with Fake Swords,2024,2024,18163,5.52281,5.94274,140,0,18163,,,,,,,,,,,,Found from URL,High,Lets Hit Each Other with Fake Swords_2024_423729.png,3,6,,,15 min,1.0,Set Collection,Action / Dexterity; Party Game
https://boardgamegeek.com/boardgame/274533/throw-throw-burrito # Throw Throw Burrito,Throw Throw Burrito,Throw Throw Burrito,https://boardgamegeek.com/boardgame/274533/throw-throw-burrito,274533,Throw Throw Burrito,2019,2019,3670,5.91417,6.24505,4667,0,3670,,,,,,,,326.0,,,,Found from URL,High,Throw Throw Burrito_2019_274533.jpg,2,6,"4, 5, 6",3,15 min,1.1,Real-Time; Set Collection; Take That,Action / Dexterity; Card Game; Party Game
https://boardgamegeek.com/boardgame/165722/klask # KLASK,KLASK,KLASK,https://boardgamegeek.com/boardgame/165722/klask,165722,KLASK,2014,2014,253,7.25882,7.62661,11715,0,253,,,,,,,44.0,7.0,,,,Found from URL,High,KLASK_2014_165722.png,2,2,2,,10 min,1.05,Real-Time; Score-and-Reset Game,Action / Dexterity; Real-time
https://boardgamegeek.com/boardgame/211534/bears-vs-babies # Bears vs Babies,Bears vs Babies,Bears vs Babies,https://boardgamegeek.com/boardgame/211534/bears-vs-babies,211534,Bears vs Babies,2017,2017,29171,5.33056,5.38156,5276,0,29171,,,,,,,,929.0,,,,Found from URL,High,Bears vs Babies_2017_211534.jpg,2,5,4,"3, 5",15-20 min,1.25,Action Points; Hand Management; Player Elimination; Set Collection; Take That,Animals; Card Game; Comic Book / Strip
https://boardgamegeek.com/boardgame/181/risk # Risiko,Risiko,Risiko,https://boardgamegeek.com/boardgame/181/risk,181,Risk,1959,1959,28334,5.46515,5.60236,37746,0,28334,,,,,,,3416.0,,,,4456.0,Found from URL,High,Risk_1959_181.jpg,2,6,4,"3, 5, 6",120 min,2.06,Area Majority / Influence; Area Movement; Dice Rolling; Hand Management; Income,Territory Building; Wargame
https://boardgamegeek.com/boardgame/358690/mantis # MANTIS,MANTIS,MANTIS,https://boardgamegeek.com/boardgame/358690/mantis,358690,MANTIS,2022,2022,2912,6.03075,6.64703,2443,0,2912,,,,,,,991.0,,,,,Found from URL,High,MANTIS_2022_358690.png,2,6,"4, 5","2, 3, 6",10 min,1.05,Hand Management; Push Your Luck; Set Collection; Take That,Card Game
https://boardgamegeek.com/boardgame/307963/durian # Durian,Durian,Durian,https://boardgamegeek.com/boardgame/307963/durian,307963,Durian,2020,2020,2680,6.07929,6.92945,1648,0,2680,,,,,,,,141.0,,,,Found from URL,High,Durian_2020_307963.png,2,7,"5, 6, 7",4,20 min,1.12,Deduction; Hand Management; Push Your Luck,Animals; Bluffing; Card Game
https://boardgamegeek.com/boardgame/169654/deep-sea-adventure # Deep Sea Adventure,Deep Sea Adventure,Deep Sea Adventure,https://boardgamegeek.com/boardgame/169654/deep-sea-adventure,169654,Deep Sea Adventure,2014,2014,900,6.69733,6.8786,19821,0,900,,,,,,,286.0,,,,,Found from URL,High,Deep Sea Adventure_2014_169654.png,2,6,4,"3, 5, 6",30 min,1.19,Pick-up and Deliver; Push Your Luck; Roll / Spin and Move,Dice; Exploration; Nautical
